"date","dose","age_group","number"
2022-04-19,"dose1","12-17",1
2022-04-20,"dose1","12-17",7
2022-04-21,"dose1","12-17",1
2022-04-22,"dose1","12-17",4
2022-04-23,"dose1","12-17",2
2022-04-25,"dose1","12-17",2
2022-04-26,"dose1","12-17",2
2022-04-27,"dose1","12-17",3
2022-04-28,"dose1","12-17",2
2022-04-29,"dose1","12-17",1
2022-04-30,"dose1","12-17",10
2022-05-02,"dose1","12-17",2
2022-05-03,"dose1","12-17",3
2022-05-04,"dose1","12-17",9
2022-05-05,"dose1","12-17",6
2022-05-06,"dose1","12-17",7
2022-05-09,"dose1","12-17",3
2022-05-10,"dose1","12-17",2
2022-05-11,"dose1","12-17",7
2022-05-12,"dose1","12-17",5
2022-05-13,"dose1","12-17",3
2022-05-15,"dose1","12-17",3
2022-05-16,"dose1","12-17",5
2022-05-17,"dose1","12-17",1
2022-05-18,"dose1","12-17",3
2022-05-19,"dose1","12-17",1
2022-05-20,"dose1","12-17",2
2022-05-21,"dose1","12-17",3
2022-05-23,"dose1","12-17",4
2022-05-24,"dose1","12-17",3
2022-05-27,"dose1","12-17",3
2022-05-30,"dose1","12-17",1
2022-06-01,"dose1","12-17",5
2022-06-02,"dose1","12-17",3
2022-06-03,"dose1","12-17",2
2021-04-08,"dose2","12-17",2
2021-04-14,"dose2","12-17",2
2021-04-15,"dose2","12-17",1
2021-04-16,"dose2","12-17",1
2021-04-17,"dose2","12-17",1
2021-04-18,"dose2","12-17",1
2021-04-21,"dose2","12-17",3
2021-04-23,"dose2","12-17",1
2021-04-24,"dose2","12-17",5
2021-04-29,"dose2","12-17",1
2021-05-02,"dose2","12-17",10
2021-05-03,"dose2","12-17",3
2021-05-05,"dose2","12-17",5
2021-05-07,"dose2","12-17",6
2021-05-08,"dose2","12-17",1
2021-05-09,"dose2","12-17",1
2021-05-10,"dose2","12-17",5
2021-05-11,"dose2","12-17",3
2021-05-12,"dose2","12-17",12
2021-05-14,"dose2","12-17",14
2021-05-15,"dose2","12-17",14
2021-05-16,"dose2","12-17",4
2021-05-17,"dose2","12-17",6
2021-05-18,"dose2","12-17",11
2021-05-19,"dose2","12-17",20
2021-05-20,"dose2","12-17",5
2021-05-21,"dose2","12-17",13
2021-05-22,"dose2","12-17",18
2021-05-23,"dose2","12-17",4
2021-05-25,"dose2","12-17",19
2021-05-26,"dose2","12-17",37
2021-05-27,"dose2","12-17",4
2021-05-28,"dose2","12-17",14
2021-05-29,"dose2","12-17",34
2021-05-30,"dose2","12-17",2
2021-05-31,"dose2","12-17",9
2021-06-01,"dose3","12-17",1
2021-06-01,"dose2","12-17",4
2021-06-02,"dose2","12-17",13
2021-06-03,"dose2","12-17",4
2021-06-04,"dose2","12-17",10
2021-06-05,"dose2","12-17",3
2021-06-06,"dose2","12-17",4
2021-06-07,"dose2","12-17",8
2021-06-08,"dose2","12-17",7
2021-06-09,"dose2","12-17",16
2021-06-10,"dose2","12-17",18
2021-06-11,"dose2","12-17",15
2021-06-12,"dose2","12-17",15
2021-06-13,"dose2","12-17",1
2021-06-14,"dose2","12-17",13
2021-06-15,"dose2","12-17",11
2021-06-16,"dose2","12-17",19
2021-06-17,"dose2","12-17",10
2021-06-18,"dose2","12-17",8
2021-06-21,"dose2","12-17",13
2021-06-22,"dose2","12-17",11
2021-06-23,"dose2","12-17",18
2021-06-24,"dose2","12-17",22
2021-06-25,"dose2","12-17",16
2021-06-26,"dose2","12-17",1
2021-06-28,"dose2","12-17",17
2021-06-30,"dose2","12-17",27
2021-07-01,"dose2","12-17",23
2021-07-02,"dose2","12-17",25
2021-07-03,"dose2","12-17",24
2021-07-04,"dose2","12-17",6
2021-07-05,"dose2","12-17",108
2021-07-06,"dose2","12-17",63
2021-07-07,"dose2","12-17",74
2021-07-08,"dose2","12-17",41
2021-07-09,"dose2","12-17",55
2021-07-10,"dose2","12-17",36
2021-07-11,"dose2","12-17",3
2021-07-12,"dose2","12-17",29
2021-07-13,"dose2","12-17",40
2021-07-14,"dose2","12-17",3
2021-07-15,"dose2","12-17",52
2021-07-16,"dose2","12-17",50
2021-07-17,"dose2","12-17",5
2021-07-18,"dose2","12-17",1
2021-07-19,"dose2","12-17",60
2021-07-20,"dose2","12-17",26
2021-07-21,"dose2","12-17",70
2021-07-22,"dose2","12-17",42
2021-07-23,"dose2","12-17",60
2021-07-24,"dose2","12-17",22
2021-07-25,"dose3","12-17",1
2021-07-25,"dose2","12-17",2
2021-07-26,"dose2","12-17",61
2021-07-27,"dose2","12-17",59
2021-07-28,"dose2","12-17",48
2021-07-29,"dose2","12-17",52
2021-07-30,"dose2","12-17",50
2021-07-31,"dose2","12-17",78
2021-08-01,"dose2","12-17",2
2021-08-02,"dose2","12-17",74
2021-08-03,"dose2","12-17",91
2021-08-04,"dose2","12-17",69
2021-08-05,"dose2","12-17",148
2021-08-06,"dose2","12-17",107
2021-08-07,"dose2","12-17",70
2021-08-08,"dose2","12-17",32
2021-08-09,"dose2","12-17",128
2021-08-10,"dose2","12-17",124
2021-08-11,"dose2","12-17",94
2021-08-12,"dose2","12-17",67
2021-08-13,"dose2","12-17",65
2021-08-14,"dose2","12-17",114
2021-08-15,"dose2","12-17",3
2021-08-16,"dose2","12-17",38
2021-08-17,"dose2","12-17",46
2021-08-18,"dose2","12-17",139
2021-08-19,"dose2","12-17",92
2021-08-20,"dose2","12-17",106
2021-08-21,"dose2","12-17",258
2021-08-23,"dose2","12-17",213
2021-08-24,"dose2","12-17",239
2021-08-25,"dose2","12-17",290
2021-08-26,"dose2","12-17",228
2021-08-27,"dose2","12-17",248
2021-08-28,"dose2","12-17",318
2021-08-29,"dose2","12-17",35
2021-08-30,"dose2","12-17",326
2021-08-31,"dose2","12-17",210
2021-09-01,"dose2","12-17",245
2021-09-02,"dose2","12-17",154
2021-09-03,"dose3","12-17",1
2021-09-03,"dose2","12-17",194
2021-09-04,"dose2","12-17",419
2021-09-06,"dose2","12-17",118
2021-09-07,"dose2","12-17",103
2021-09-08,"dose2","12-17",231
2021-09-09,"dose2","12-17",187
2021-09-10,"dose2","12-17",178
2021-09-11,"dose2","12-17",243
2021-09-12,"dose2","12-17",1
2021-09-13,"dose3","12-17",1
2021-09-13,"dose2","12-17",220
2021-09-14,"dose3","12-17",2
2021-09-14,"dose2","12-17",152
2021-09-15,"dose2","12-17",159
2021-09-16,"dose2","12-17",158
2021-09-17,"dose2","12-17",209
2021-09-18,"dose2","12-17",345
2021-09-19,"dose2","12-17",1
2021-09-20,"dose2","12-17",123
2021-09-21,"dose2","12-17",110
2021-09-22,"dose2","12-17",197
2021-09-23,"dose3","12-17",1
2021-09-23,"dose2","12-17",81
2021-09-24,"dose2","12-17",167
2021-09-25,"dose2","12-17",117
2021-09-27,"dose2","12-17",75
2021-09-28,"dose2","12-17",55
2021-09-29,"dose2","12-17",158
2021-09-30,"dose2","12-17",53
2021-10-01,"dose2","12-17",73
2021-10-02,"dose2","12-17",67
2021-10-04,"dose2","12-17",44
2021-10-05,"dose2","12-17",31
2021-10-06,"dose2","12-17",79
2021-10-07,"dose2","12-17",32
2021-10-08,"dose2","12-17",42
2021-10-09,"dose2","12-17",86
2021-10-11,"dose3","12-17",1
2021-10-11,"dose2","12-17",31
2021-10-12,"dose2","12-17",26
2021-10-13,"dose2","12-17",94
2021-10-14,"dose3","12-17",1
2021-10-14,"dose2","12-17",20
2021-10-15,"dose2","12-17",47
2021-10-16,"dose2","12-17",35
2021-10-18,"dose2","12-17",24
2021-10-19,"dose2","12-17",36
2021-10-20,"dose3","12-17",1
2021-10-20,"dose2","12-17",56
2021-10-21,"dose2","12-17",32
2021-10-22,"dose2","12-17",18
2021-10-23,"dose2","12-17",36
2021-10-25,"dose2","12-17",39
2021-10-26,"dose2","12-17",29
2021-10-27,"dose2","12-17",40
2021-10-28,"dose2","12-17",20
2021-10-29,"dose2","12-17",25
2021-10-30,"dose2","12-17",24
2021-10-31,"dose2","12-17",8
2021-11-02,"dose2","12-17",32
2021-11-03,"dose3","12-17",1
2021-11-03,"dose2","12-17",51
2021-11-04,"dose2","12-17",32
2021-11-05,"dose2","12-17",39
2021-11-06,"dose2","12-17",28
2021-11-08,"dose2","12-17",14
2021-11-09,"dose3","12-17",1
2021-11-09,"dose2","12-17",16
2021-11-10,"dose2","12-17",51
2021-11-11,"dose3","12-17",1
2021-11-11,"dose2","12-17",3
2021-11-12,"dose2","12-17",35
2021-11-13,"dose3","12-17",1
2021-11-13,"dose2","12-17",31
2021-11-15,"dose2","12-17",15
2021-11-16,"dose2","12-17",19
2021-11-17,"dose2","12-17",41
2021-11-18,"dose2","12-17",16
2021-11-19,"dose2","12-17",32
2021-11-20,"dose2","12-17",57
2021-11-22,"dose3","12-17",1
2021-11-22,"dose2","12-17",12
2021-11-23,"dose2","12-17",16
2021-11-24,"dose2","12-17",79
2021-11-25,"dose2","12-17",34
2021-11-26,"dose3","12-17",1
2021-11-26,"dose2","12-17",37
2021-11-27,"dose2","12-17",53
2021-11-29,"dose3","12-17",1
2021-11-29,"dose2","12-17",23
2021-11-30,"dose3","12-17",4
2021-11-30,"dose2","12-17",22
2021-12-01,"dose3","12-17",1
2021-12-01,"dose2","12-17",64
2021-12-02,"dose2","12-17",49
2021-12-03,"dose2","12-17",42
2021-12-04,"dose3","12-17",2
2021-12-04,"dose2","12-17",61
2021-12-06,"dose3","12-17",1
2021-12-06,"dose2","12-17",16
2021-12-07,"dose3","12-17",1
2021-12-07,"dose2","12-17",22
2021-12-08,"dose3","12-17",2
2021-12-08,"dose2","12-17",53
2021-12-09,"dose3","12-17",2
2021-12-09,"dose2","12-17",30
2021-12-10,"dose3","12-17",3
2021-12-10,"dose2","12-17",35
2021-12-11,"dose3","12-17",3
2021-12-11,"dose2","12-17",51
2021-12-12,"dose3","12-17",3
2021-12-12,"dose2","12-17",10
2021-12-13,"dose3","12-17",1
2021-12-13,"dose2","12-17",39
2021-12-14,"dose3","12-17",2
2021-12-14,"dose2","12-17",49
2021-12-15,"dose3","12-17",2
2021-12-15,"dose2","12-17",66
2021-12-16,"dose3","12-17",1
2021-12-16,"dose2","12-17",33
2021-12-17,"dose3","12-17",2
2021-12-17,"dose2","12-17",40
2021-12-18,"dose3","12-17",1
2021-12-18,"dose2","12-17",40
2021-12-19,"dose2","12-17",9
2021-12-20,"dose3","12-17",2
2021-12-20,"dose2","12-17",26
2021-12-21,"dose3","12-17",1
2021-12-21,"dose2","12-17",36
2021-12-22,"dose2","12-17",27
2021-12-23,"dose3","12-17",2
2021-12-23,"dose2","12-17",43
2021-12-24,"dose3","12-17",1
2021-12-24,"dose2","12-17",5
2021-12-25,"dose2","12-17",1
2021-12-27,"dose2","12-17",54
2021-12-28,"dose3","12-17",1
2021-12-28,"dose2","12-17",46
2021-12-29,"dose3","12-17",2
2021-12-29,"dose2","12-17",30
2021-12-30,"dose3","12-17",3
2021-12-30,"dose2","12-17",39
2021-12-31,"dose2","12-17",3
2022-01-03,"dose3","12-17",9
2022-01-03,"dose2","12-17",31
2022-01-04,"dose3","12-17",3
2022-01-04,"dose2","12-17",42
2022-01-05,"dose3","12-17",19
2022-01-05,"dose2","12-17",61
2022-01-06,"dose3","12-17",10
2022-01-06,"dose2","12-17",52
2022-01-07,"dose3","12-17",3
2022-01-07,"dose2","12-17",65
2022-01-08,"dose3","12-17",9
2022-01-08,"dose2","12-17",38
2022-01-09,"dose3","12-17",2
2022-01-09,"dose2","12-17",29
2022-01-10,"dose3","12-17",2
2022-01-10,"dose2","12-17",21
2022-01-11,"dose3","12-17",2
2022-01-11,"dose2","12-17",22
2022-01-12,"dose3","12-17",11
2022-01-12,"dose2","12-17",39
2022-01-13,"dose3","12-17",1
2022-01-13,"dose2","12-17",19
2022-01-14,"dose3","12-17",3
2022-01-14,"dose2","12-17",12
2022-01-15,"dose2","12-17",25
2022-01-16,"dose3","12-17",1
2022-01-16,"dose2","12-17",11
2022-01-17,"dose3","12-17",1
2022-01-17,"dose2","12-17",14
2022-01-18,"dose3","12-17",1
2022-01-18,"dose2","12-17",21
2022-01-19,"dose3","12-17",1
2022-01-19,"dose2","12-17",62
2022-01-20,"dose2","12-17",8
2022-01-21,"dose2","12-17",18
2022-01-22,"dose3","12-17",5
2022-01-22,"dose2","12-17",13
2022-01-24,"dose3","12-17",1
2022-01-24,"dose2","12-17",19
2022-01-25,"dose3","12-17",5
2022-01-25,"dose2","12-17",14
2022-01-26,"dose3","12-17",3
2022-01-26,"dose2","12-17",50
2022-01-27,"dose3","12-17",1
2022-01-27,"dose2","12-17",20
2022-01-28,"dose3","12-17",7
2022-01-28,"dose2","12-17",27
2022-01-29,"dose3","12-17",2
2022-01-29,"dose2","12-17",9
2022-01-31,"dose3","12-17",2
2022-01-31,"dose2","12-17",15
2022-02-01,"dose3","12-17",3
2022-02-01,"dose2","12-17",21
2022-02-02,"dose3","12-17",5
2022-02-02,"dose2","12-17",40
2022-02-03,"dose3","12-17",1
2022-02-03,"dose2","12-17",21
2022-02-04,"dose2","12-17",15
2022-02-05,"dose3","12-17",3
2022-02-05,"dose2","12-17",48
2022-02-06,"dose3","12-17",1
2022-02-06,"dose2","12-17",22
2022-02-07,"dose2","12-17",14
2022-02-08,"dose3","12-17",3
2022-02-08,"dose2","12-17",11
2022-02-09,"dose3","12-17",7
2022-02-09,"dose2","12-17",35
2022-02-10,"dose3","12-17",2
2022-02-10,"dose2","12-17",16
2022-02-11,"dose3","12-17",2
2022-02-11,"dose2","12-17",19
2022-02-12,"dose3","12-17",38
2022-02-12,"dose2","12-17",20
2022-02-13,"dose3","12-17",12
2022-02-13,"dose2","12-17",15
2022-02-14,"dose3","12-17",1
2022-02-14,"dose2","12-17",9
2022-02-15,"dose3","12-17",17
2022-02-15,"dose2","12-17",11
2022-02-16,"dose3","12-17",22
2022-02-16,"dose2","12-17",38
2022-02-17,"dose3","12-17",6
2022-02-17,"dose2","12-17",24
2022-02-18,"dose3","12-17",6
2022-02-18,"dose2","12-17",27
2022-02-19,"dose3","12-17",24
2022-02-19,"dose2","12-17",17
2022-02-20,"dose3","12-17",11
2022-02-20,"dose2","12-17",5
2022-02-21,"dose3","12-17",21
2022-02-21,"dose2","12-17",24
2022-02-22,"dose3","12-17",32
2022-02-22,"dose2","12-17",30
2022-02-23,"dose3","12-17",19
2022-02-23,"dose2","12-17",15
2022-02-24,"dose3","12-17",12
2022-02-24,"dose2","12-17",24
2022-02-25,"dose3","12-17",21
2022-02-25,"dose2","12-17",21
2022-02-26,"dose3","12-17",1
2022-02-26,"dose2","12-17",8
2022-02-28,"dose3","12-17",3
2022-02-28,"dose2","12-17",9
2022-03-01,"dose3","12-17",8
2022-03-01,"dose2","12-17",9
2022-03-02,"dose3","12-17",13
2022-03-02,"dose2","12-17",44
2022-03-03,"dose3","12-17",10
2022-03-03,"dose2","12-17",7
2022-03-04,"dose3","12-17",2
2022-03-04,"dose2","12-17",10
2022-03-05,"dose3","12-17",1
2022-03-07,"dose3","12-17",11
2022-03-07,"dose2","12-17",10
2022-03-08,"dose3","12-17",7
2022-03-08,"dose2","12-17",11
2022-03-09,"dose3","12-17",15
2022-03-09,"dose2","12-17",21
2022-03-10,"dose3","12-17",6
2022-03-10,"dose2","12-17",12
2022-03-11,"dose3","12-17",3
2022-03-11,"dose2","12-17",8
2022-03-12,"dose3","12-17",4
2022-03-12,"dose2","12-17",16
2022-03-14,"dose3","12-17",6
2022-03-14,"dose2","12-17",6
2022-03-15,"dose3","12-17",6
